0, 2068, 1594654288690, 1594654290758
1, 51, 1594654290758, 1594654290809
2, 35, 1594654290811, 1594654290846
3, 23, 1594654290851, 1594654290874
4, 34, 1594654290879, 1594654290913
5, 26, 1594654290914, 1594654290940
6, 27, 1594654290940, 1594654290967
7, 110, 1594654290968, 1594654291078
8, 19, 1594654291083, 1594654291102
9, 30, 1594654291103, 1594654291133
10, 29, 1594654291135, 1594654291164
11, 23, 1594654291167, 1594654291190
12, 20, 1594654291190, 1594654291210
13, 24, 1594654291215, 1594654291239
14, 24, 1594654291239, 1594654291263
15, 20, 1594654291264, 1594654291284
16, 32, 1594654291287, 1594654291319
17, 19, 1594654291319, 1594654291338
18, 21, 1594654291343, 1594654291364
19, 19, 1594654291367, 1594654291386
20, 15, 1594654291391, 1594654291406
21, 27, 1594654291411, 1594654291438
22, 18, 1594654291442, 1594654291460
23, 18, 1594654291460, 1594654291478
24, 20, 1594654291483, 1594654291503
25, 20, 1594654291504, 1594654291524
26, 20, 1594654291525, 1594654291545
27, 27, 1594654291545, 1594654291572
28, 21, 1594654291573, 1594654291594
29, 21, 1594654291594, 1594654291615
30, 19, 1594654291615, 1594654291634
31, 18, 1594654291639, 1594654291657
32, 17, 1594654291658, 1594654291675
33, 25, 1594654291679, 1594654291704
34, 18, 1594654291707, 1594654291725
35, 18, 1594654291726, 1594654291744
36, 13, 1594654291745, 1594654291758
37, 15, 1594654291758, 1594654291773
38, 20, 1594654291773, 1594654291793
39, 21, 1594654291793, 1594654291814
40, 9, 1594654291814, 1594654291823
41, 10, 1594654291823, 1594654291833
42, 13, 1594654291833, 1594654291846
43, 9, 1594654291846, 1594654291855
44, 9, 1594654291855, 1594654291864
45, 9, 1594654291864, 1594654291873
46, 17, 1594654291873, 1594654291890
47, 11, 1594654291891, 1594654291902
48, 9, 1594654291902, 1594654291911
49, 12, 1594654291912, 1594654291924
50, 9, 1594654291925, 1594654291934
51, 18, 1594654291934, 1594654291952
52, 21, 1594654291955, 1594654291976
53, 9, 1594654291976, 1594654291985
54, 10, 1594654291985, 1594654291995
55, 18, 1594654291995, 1594654292013
56, 17, 1594654292013, 1594654292030
57, 15, 1594654292031, 1594654292046
58, 25, 1594654292051, 1594654292076
59, 17, 1594654292077, 1594654292094
60, 12, 1594654292099, 1594654292111
61, 10, 1594654292112, 1594654292122
62, 9, 1594654292122, 1594654292131
63, 16, 1594654292132, 1594654292148
64, 10, 1594654292148, 1594654292158
65, 17, 1594654292158, 1594654292175
66, 9, 1594654292175, 1594654292184
67, 10, 1594654292184, 1594654292194
68, 9, 1594654292194, 1594654292203
69, 9, 1594654292204, 1594654292213
70, 16, 1594654292213, 1594654292229
71, 9, 1594654292229, 1594654292238
72, 9, 1594654292238, 1594654292247
